graph file,63_2225,113_2635,98_2483,85_2572,111_2307,168_2703,200_1935,91_2665,109_2986,116_2620,145_2999,139_2996,161_3000,99_2620,117_1938,97_2739,125_2377,97_2694,151_3000,75_3000,110_2321,133_2727,109_2839,155_3000,151_2545,106_3000,106_1413,136_3000,126_2946
corpus-christi-regional-transportation_20130903_2036_subgraph_tram+bus.gr.bz2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
edmonton-transit-system_20150902_0111_subgraph_tram+bus.gr.bz2,1.0,0.25,0.3333333333333333,0.25,0.25,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.25,0.25,1.0,0.25,1.0,1.0,0.25,0.25,1.0,1.0
edmonton-transit-system_20150902_0111.gr.bz2,0.25,0.3333333333333333,0.25,0.25,0.25,1.0,1.0,0.25,0.25,0.25,1.0,1.0,1.0,0.25,0.25,0.25,1.0,0.25,1.0,0.25,0.25,0.25,0.25,1.0,1.0,0.25,0.25,0.25,0.25
ecobici.stats_20141007_2248_subgraph_bus.gr.bz2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
detroit-department-of-transportation_20151202_1517.gr.bz2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
oc-transpo_20131119_1910.gr.bz2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
greater-cleveland-regional-transit-authority_20140529_0333.gr.bz2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
psta_20151216_1523.gr.bz2,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333
oc-transpo_20131119_1910_subgraph_bus.gr.bz2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
orange-county-transportation-authority_20151202_1534_subgraph_tram+bus.gr.bz2,0.16666666666666666,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,1.0,0.14285714285714285,0.125,0.14285714285714285,0.14285714285714285,0.125,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,0.14285714285714285,0.14285714285714285,1.0,0.14285714285714285,0.1111111111111111,0.125,0.14285714285714285,0.14285714285714285,1.0,0.14285714285714285
ecobici.stats_20141007_2248.gr.bz2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
trimet-archiver_20151219_0104_subgraph_tram+bus.gr.bz2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
detroit-department-of-transportation_20151202_1517_subgraph_bus.gr.bz2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
amat_20140723_2302.normalized.gr.bz2,1.0,0.25,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.3333333333333333,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.3333333333333333
emdec_20150312_1945_subgraph_metro+bus.gr.bz2,1.0,0.3333333333333333,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,1.0,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5
bc-transit-archiver_20130419_0317_subgraph_train+metro+tram+bus.gr.bz2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
orange-county-transportation-authority_20151202_1534_subgraph_metro+bus.gr.bz2,1.0,0.2,0.25,0.25,0.25,1.0,1.0,0.25,0.3333333333333333,0.25,0.2,0.25,1.0,0.25,0.25,0.25,0.25,0.25,1.0,1.0,0.25,0.25,0.3333333333333333,1.0,1.0,0.25,0.25,0.2,0.25
thomaskoch_20130224_1534_subgraph_metro+bus.gr.bz2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bc-transit-archiver_20130426_0318_subgraph_metro+bus.gr.bz2,0.25,0.25,0.25,0.25,0.25,1.0,1.0,0.25,0.25,0.25,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.25,1.0,1.0,0.25,0.25,0.25,0.25
oc-transpo_20131119_1910_subgraph_train+metro+tram+bus.gr.bz2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
ripta_20150825_0113_subgraph_train+metro+tram+bus.gr.bz2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
greater-cleveland-regional-transit-authority_20140529_0333_subgraph_bus.gr.bz2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
